SMILES1,SMILES2,cocrystallization
c12c(ccc3c1cccc3)c1ccccc1cc2,c1cc2ccccc2cc1,0
c12ccccc1nc1c(n2)cccc1,OC(C=CC(=O)O)=O,1
c1(C(=O)O)ccc(O)cc1,c1ccccn1,1
OC(CC(C(O)=O)O)=O,n1c[nH]cc1,1
OC(CCC(O)=O)=O,c1(C)ccc(N)nc1,1
[O-][n+]1cc[n+]([O-])cc1,c1cc(I)ccc1I,0
c1cc(C=CC(=O)O)sc1,Nc1ccccc1N,1
NC(c1nc(F)cnc1O)=O,OC(C=Cc1ccc(O)c(OC)c1)=O,1
c1cc(O)ccc1NC(C)=O,OC1=C(O)C(=O)OC1C(CO)O,0
c1cccc(C(=O)O)c1C(O)=O,c1ccccn1,1
[O-][n+]1c2cc(Cl)c(Cl)cc2no1,c12c3cccc1ccc1c2c(ccc1)cc3,1
c1([N+](=O)[O-])cc([N+](=O)[O-])cc(C(=O)O)c1,[O-][n+]1cc(C)c([N+]([O-])=O)cc1,1
c1(Br)c(F)c(F)c(Br)c(F)c1F,c1cc(C=Cc2ccncc2)ccn1,1
OC(=O)C(=O)O,c1c(OC)c(C(=O)O)ccc1,0
c1(C#N)cc(C#N)c(C#N)cc1C#N,c1(OC)c(O)ccc(C(O)=O)c1,1
OC(c1ccc(N)cc1)=O,c1cc(C(O)C(N(C)C)C)ccc1,1
C(F)(c1cc(NC(=O)C(C)(O)CS(c2ccc(F)cc2)(=O)=O)ccc1C#N)(F)F,c1c(O)cccn1,0
C(F)(F)(c1cc2c(cc1C(F)(F)F)c(C(F)(F)F)c1c(c2C(F)(F)F)cc(C(F)(F)F)c(C(F)(F)F)c1)F,c1cc2cc3c(cccc3)cc2cc1,1
C(c1cccc(F)c1)(O)=O,Cc1c(C)cc2c(c1)nc1c(=O)[nH]c(=O)nc-1n2CC(O)C(C(O)CO)O,0
c1ccnc(C(O)=O)c1,O=C(c1cnccc1)N,1
c1cc2c(cc1)c(O)ccc2,O=[N+](c1ccccc1N)[O-],0
C(c1cc(OC)c(O)c(OC)c1)=CC(O)=O,n1cc(C(N)=O)ccc1,1
c1cc(C)ccc1C(N)=O,c1c(-c2ccncc2)ccnc1,0
[O-][N+](c1cccc(C(=O)N)c1)=O,CCCCCCCC(O)=O,0
c1cc(Br)ccc1C(O)=O,c1ccc(OC)c(N2CCNCC2)c1,1
[O-][N+](=O)c1cccc([N+]([O-])=O)c1,c1cc(N)cc(N)c1,0
c1cc(O)ccc1O,c1c(-c2ccncc2)cncn1,1
O=C(O)c1ccccc1,C1=CC(=O)NC1=O,0
c12ccccc1cc[nH]2,c1(C(N)=O)cnccc1,0
c1(Br)ccc(-c2nn3c(C)nnc3s2)cc1,c1cc(Br)ccc1C(O)=O,1
CC(CO)(N)CO,C(=O)(C(c1ccc(CC(C)C)cc1)C)O,1
c1c(O)c(C(O)=O)ccc1,c1ccc(N)cc1C(O)=O,0
c1cc2c([nH]c3ccccc32)cc1,c1cc2c(cc3ccccc3c2)cc1,0
